ID;Type;Brand;Model;YearOfManufacture;Color;Price;RegistrationNumber;Mileage;DurationOfService;Coefficient;CarBody;LeaseRate;MaxVelocity;MaxCargoSize;ComfortRate
1;Car;BMW;X5;2020;Red;50000;BHD12345;9999;3650;1,5;SUV;5;;;1
2;Car;Mercedes;C-Class;2019;Blue;39547;KLM67890;20000;730;2;Sedan;6;;;1
3;Car;Audi;A4;2021;Green;45000;XYZ23456;15121;500;1,8;Sedan;5,5;;;2
4;Car;Toyota;Camry;2022;White;38456;RST45678;500000;200;1,2;Sedan;4;;;3
5;Car;Ford;Mustang;2023;Yellow;59100;UVW56789;800000;300;2,2;Coupe;7;;;4
6;Car;Chevrolet;Impala;2022;Gray;40000;IJK12000;12000;400;1,6;Sedan;5;;;5
7;Car;Hyundai;Elantra;2023;Cyan;30000;ABC7;7000;250;1,4;Sedan;4;;;7
8;Car;Honda;Civic;2021;Red;35000;ABC8;9000;350;1,7;Sedan;5;;;1
9;Car;Nissan;Altima;2020;Blue;34250;ABC9;11000;375;1,9;Sedan;5,5;;;1
10;Car;Volkswagen;Passat;2023;Green;36000;ABC10;10000;325;2;Sedan;6;;;2
11;Truck;Chevrolet;Silverado;2020;Gray;60000;XYZ1;20000;3650;2,5;;;120;15;7
12;Truck;Hyundai;Santa Cruz;2019;Cyan;55000;XYZ2;25000;7300;2,8;;;110;14;4
13;Truck;Honda;Ridgeline;2021;Red;58000;XYZ3;22000;500;2,6;;;115;16;1
14;Truck;Nissan;Titan;2022;Blue;59500;XYZ4;23000;200;2,7;;;125;17;3
15;Truck;Volkswagen;Amarok;2023;Green;6200000;XYZ5;21000;3000;2,9;;;130;18;4
16;Truck;Ford;F-150;2021;Red;64000;XYZ6;24000;400;3;;;135;19;5
17;Truck;Toyota;Tundra;2022;Blue;63000;XYZ7;2300000;350;3,1;;;140;20;6
18;Truck;GMC;Sierra;2023;Green;64000;XYZ8;22000;375;3,2;;;145;21;8
19;Truck;Ram;1500;2020;Gray;66000;XYZ9;21000;325;3,3;;;150;22;10
20;Truck;Jeep;Gladiator;2023;Cyan;67000;XYZ10;29500;300;3,4;;;155;23;7
21;Car;Mercedes;Alpha;2015;Cyan;50000;UTL26682;86531;2333;0,1;Combi;4,5;;;9,5
22;Truck;Volvo;Truncate;2020;Cyan;80000;ULN91295;157502;3625;4,5;;;120;15;0,1
23;Car;Suzuki;Guardian;1999;Red;10000;VKE49309;171125;317;4;City Car;7,4;;;7,7
24;Truck;Renault;Asterix;2000;Yellow;40000;GDZ48687;97780;2360;0,1;;;150;20;8,5
25;Truck;Toyota;Aurelion;2015;Red;35000;GZU14578;0;0;1,2;;;140;15;7,5
26;Car;Peugeot;Bird;2015;Red;20000;GZD14514;0;0;1,5;Combi;4,5;;;4
